id;name;rs_name;en_name;full_name;rs_full_name;en_full_name;address;rs_address;en_address;brief;en_brief;rs_brief;phone_num;contact_person;create_date;update_date;main_img
1;Stravenue Intelligent;Auto Loan Account;grow Investor Concrete;Plaza Sports;withdrawal Accounts;SSL Movies;Licensed Forward hardware;Crossing Handmade;Hat Computer;Architect;AI;Oklahoma Buckinghamshire;enhance;Unions;2020-04-21;2020-04-22;integrated invoice North Dakota
2;Rubber;markets quantify;fuchsia;bypass Triple-buffered Skyway;Checking Account;programming;analyzing Jamaican Dollar Cheese;redundant Walk;Fantastic Soft Computer;compelling turquoise;Architect copying;plum aggregate;next generation Denar;THX Corporate;2020-04-21;2020-04-22;Stand-alone payment XSS
3;Beauty;salmon Texas calculating;Indonesia;Rubber Handcrafted;Gorgeous invoice;groupware hard drive Garden;Washington;Licensed Granite Keyboard;Representative AGP European Monetary Unit (E.M.U.-6);black;COM Congolese Franc programming;British Indian Ocean Territory (Chagos Archipelago) alarm SAS;transform;model Ergonomic;2020-04-22;2020-04-22;Credit Card Account Investment Account
4;Spurs Sleek Concrete Bacon;HTTP Movies Marketing;Fantastic value-added;optimize Soap;moderator Massachusetts;Bond Markets Units European Composite Unit (EURCO);Rufiyaa Assurance invoice;AGP Shoals;success methodical Cross-group;Florida Belarus;pixel;Practical Rubber Chips Investor;Incredible;invoice;2020-04-21;2020-04-22;Saint Helena Pound Mississippi Concrete
5;South Dakota;Division Savings Account Wooden;6th generation;Profound mesh;customized;Books Lesotho;open-source;RAM Vermont Oklahoma;Lead e-tailers;Communications Direct SSL;ivory sensor;magenta Solutions;Afghani parsing Manager;Cotton;2020-04-22;2020-04-22;Michigan Senior
6;compress Branding radical;Specialist technologies;Tasty Granite Towels violet;Bedfordshire;Tactics;Liberia Stravenue transmitting;real-time;Timor-Leste;Ecuador Extensions;quantify;Car withdrawal;turn-key;transmit model Factors;Savings Account;2020-04-21;2020-04-21;Concrete Indian Rupee Licensed Soft Gloves
7;Tunisian Dinar 24/365;SAS Unbranded;redundant extensible;Direct digital;Berkshire bypass;reintermediate;Refined Wooden Sausages Ranch;Ohio Sharable;drive Handmade;Branch leverage;incentivize Grocery;Soft Northern Mariana Islands;Ergonomic Metal Ball;wireless 5th generation;2020-04-21;2020-04-22;Czech Koruna Home Loan Account
8;Personal Loan Account;Table;Global adapter Village;Cotton Synergized;coherent value-added zero defect;JBOD primary;strategize needs-based withdrawal;Myanmar empower;methodologies;Junction;Baby Automotive auxiliary;Sleek Frozen Table markets;Chicken sticky secondary;interface;2020-04-22;2020-04-22;Walks
9;Cross-group International web services;dynamic SCSI Singapore Dollar;Gorgeous Credit Card Account Customer;Avon Money Market Account;virtual Gorgeous Rubber Ball Distributed;Rustic Mouse payment;Frozen;Regional invoice;Table Frozen copying;Incredible salmon;Money Market Account SDD composite;Utah Grocery;USB backing up;Technician generating maximize;2020-04-22;2020-04-22;array
10;SDD Integration;24 hour sensor wireless;digital;envisioneer magenta;dynamic sky blue;e-commerce;Table;applications;Roads;Shoes Brazilian Real Investor;Borders deposit;Granite;rich;index Outdoors;2020-04-21;2020-04-22;Checking Account deliverables
