id;date;customer_id;command_id;total_ex_taxes;delivery_fees;tax_rate;taxes;total
1;2020-04-05T11:03:50;57297;85235;13062;25156;29354;86430;32320
2;2020-04-05T23:04:19;45005;46751;5801;89234;94315;55902;22604
3;2020-04-05T21:40:09;81602;74773;47466;30348;64379;78406;52363
4;2020-04-06T01:28:51;79862;75071;94375;58419;76728;83567;10489
5;2020-04-05T05:27:31;28730;67683;92692;13729;99973;79944;48950
6;2020-04-05T17:31:01;6307;29319;77772;59283;58135;90663;48352
7;2020-04-05T13:04:14;17323;59835;60360;8068;31806;1912;68011
8;2020-04-05T17:59:54;20522;71595;73808;24198;87472;79274;76782
9;2020-04-05T03:16:21;25244;36763;15036;41434;95348;45135;11017
10;2020-04-05T09:51:16;97394;80874;13687;62834;31192;92121;74564
