id;reference;date;customer_id;basket;total_ex_taxes;delivery_fees;tax_rate;taxes;total;status;returned
1;strategic Movies plug-and-play;2020-04-05T10:22:54;4615;Metal e-business Dynamic;99955;39897;3101;30755;10376;Centralized;false
2;Rubber Practical transmitter;2020-04-05T22:03:21;77346;Salad microchip;57868;1226;90290;51687;21800;success Wooden;false
3;non-volatile Metical;2020-04-05T11:28:06;49723;Hat;52535;68353;97997;32022;21358;Practical Cedi;true
4;copying maximize;2020-04-05T20:09:50;65946;Investment Account;17389;7528;42575;45446;32480;redundant National;false
5;mesh Saint Kitts and Nevis;2020-04-05T17:52:46;46414;Intelligent Frozen Chips Arizona Suriname;82689;66955;30339;13769;19267;e-commerce Fish haptic;false
6;Generic Granite Chips;2020-04-05T23:46:13;59541;Investment Account Investment Account Handmade;52043;54511;28366;26482;11419;American Samoa Extended budgetary management;false
7;Tasty;2020-04-05T03:57:21;73137;Marketing Ball;71921;62011;98846;19365;80831;Toys web-readiness;false
8;web services Licensed payment;2020-04-05T06:22:17;46789;Intuitive Awesome;75170;94511;50828;11867;78800;Chips South Carolina withdrawal;false
9;Rubber pink;2020-04-05T17:30:34;95388;Grocery;13508;73984;52205;54812;1577;payment Cayman Islands Dollar;true
10;collaborative GB;2020-04-05T04:19:06;54500;Refined Wooden Salad multi-state Tactics;60325;68227;129;77385;44069;full-range Money Market Account Singapore Dollar;false
