id;name;rs_name;en_name;artist_id;museum_id;age;tags;width;height;raw_img;web_img;thumbnail_img;pin;pin_img;reference;sentence;rs_sentence;en_sentence;brief;rs_brief;en_brief;info;rs_art_info;en_art_info;rating;create_date;update_date;use_artist_info;category;material
1;wireless Table Granite;Executive Illinois;RSS;97497;83878;relationships Chair;open system wireless Keyboard;43405;64122;complexity Granite Unbranded;Inlet;Monitored withdrawal sensor;Consultant Tactics;Rubber generate;exploit;Ball;microchip Tasty Cotton Chair;portal Bedfordshire;online Rubber Sharable;Plastic array Towels;Ball;object-oriented Barbados Dollar;Well;Bacon withdrawal quantify;87277;2020-04-11T11:47:13;2020-04-11T14:27:13;false;Generic calculate Towels;Sports Fantastic Cotton Gloves
2;Credit Card Account Licensed killer;card Sleek;action-items Arkansas;84622;50008;Global Avon;neural panel;47625;51320;orange;program invoice;withdrawal;indigo feed;Upgradable array bus;24/7 Customer web services;Hat;HDD;Chips Cordoba Oro Outdoors;JSON Global;Morocco Sleek Rubber Hat primary;Credit Card Account Monaco withdrawal;Brunei Dollar Car Avon;deposit;South Carolina;36900;2020-04-11T20:37:39;2020-04-12T11:07:04;true;Savings Account invoice;database
3;salmon;hub Tasty wireless;Supervisor;29328;72997;sky blue;Chair parsing deposit;23776;26242;Utah;Pennsylvania;Dynamic Oman;Fantastic Plastic Chips Fresh;Analyst;Kwacha hack;monitoring synthesize solid state;Table;bus;Strategist;Multi-lateral;grid-enabled navigating Shoals;SSL Cloned;Connecticut Intuitive;SDD;70003;2020-04-12T11:23:21;2020-04-11T13:29:58;true;Legacy 24/7 Cloned;Comoros yellow
4;solid state;neural;Mayotte;92429;48435;Optimization monitor Checking Account;Shoals leverage Handcrafted;65504;32620;Checking Account;Future pixel;Operative;Implementation indigo;COM;Investor clear-thinking Global;Burundi;programming;national;intranet deposit Utah;Frozen Practical dot-com;Quality Licensed Optimized;Shoes calculate gold;overriding Steel;bypass Officer;71189;2020-04-12T10:07:44;2020-04-12T02:08:47;false;Russian Ruble Seamless;Principal Cotton Grenada
5;Parkway Shore;Computers;frictionless;16753;76658;Handcrafted Generic synthesize;azure Shoes;66788;25764;alarm Research cyan;asynchronous;matrix Licensed Table;Small Automated payment;protocol invoice;New Jersey fresh-thinking Argentina;United States Minor Outlying Islands;Borders Group;driver transmitting quantify;standardization;productivity;Trafficway;1080p Dong;Practical customer loyalty;Generic Soft Towels;3568;2020-04-12T09:30:08;2020-04-12T00:58:09;false;generating Car;methodologies best-of-breed
6;Tasty Rubber Bacon;info-mediaries invoice District;Maryland bypassing system;43045;40518;SDD Fall Tuna;Awesome Metal Sausages transmit;6927;27311;navigate implement Handmade;Towels;distributed payment;Assistant;Money Market Account Buckinghamshire Bermudian Dollar (customarily known as Bermuda Dollar);Incredible Czech Republic;Mission invoice Bedfordshire;Buckinghamshire Applications Investment Account;Dale projection;Somoni Refined Granite Mouse Mouse;Dynamic;SMS alarm;Computer Tuna Graphical User Interface;Platinum Mozambique;bus Ferry;8604;2020-04-11T14:46:21;2020-04-11T21:03:01;true;navigate CSS;Data relationships Toys
7;Health;Junctions;Garden compressing Small;20680;11082;Soft Ergonomic Rubber Computer;Frozen;16664;40196;Handmade;cross-media User-centric;project;Shoes leverage;USB Rhode Island;Singapore Dollar Practical Granite Shirt;Cambridgeshire North Dakota;auxiliary Auto Loan Account Personal Loan Account;index;Unbranded Frozen Salad;empower pricing structure;Health Berkshire killer;cross-platform monetize Concrete;Bedfordshire;Chair bypassing Principal;74980;2020-04-11T19:44:42;2020-04-12T07:13:07;false;platforms invoice;XML withdrawal
8;ADP Ergonomic Concrete Hat;framework harness;tan Strategist Arizona;67182;16382;deposit Frozen digital;override target;91940;76805;Awesome Concrete Computer payment solid state;virtual toolset;West Virginia;Hat;calculate Minnesota primary;Spring;synthesizing integrated;Savings Account;Jamaican Dollar Liaison;innovate Norfolk Island;Personal Loan Account Buckinghamshire XML;Customer backing up back-end;program Swiss Franc architect;6th generation synthesizing;haptic Paradigm Intranet;34794;2020-04-11T18:33:22;2020-04-11T14:38:39;false;auxiliary;Consultant
9;pixel Computers;Pike Table grey;Metrics;70060;57869;PCI;Massachusetts;34470;85408;1080p Estates Soap;Wells Borders;Gorgeous Fresh Table;Home Loan Account neural-net;Principal seize quantify;Toys;eyeballs Credit Card Account;solid state ability Parkways;ROI 1080p;Executive users;iterate;sensor;Optimized;azure;Sudan;69486;2020-04-11T12:51:02;2020-04-11T17:58:08;false;Tennessee optical;Frozen generating Applications
10;Keyboard challenge;Savings Account indexing;programming;5088;96217;Rapid recontextualize;Gorgeous Cotton Chips IB;18204;43864;Shoes Sports;Investor;Generic Refined;teal embrace;Tasty;deploy Tactics;Unbranded Metal Bacon;Designer;Fantastic Dynamic;Small;transform extend withdrawal;disintermediate paradigms Industrial;real-time Handcrafted Granite Soap;Buckinghamshire;withdrawal transmitting;65716;2020-04-11T12:27:44;2020-04-11T13:41:04;false;reboot withdrawal directional;Oklahoma
