id;file_no;biz_code;default_url;default_path;default_file_name;is_img;size;is_thumbnail;is_commit;create_time;update_time
1;Games Investment Account;monitor dot-com Buckinghamshire;impactful;Chips;bus;false;56173;true;true;2020-04-04T16:33:44;2020-04-04T21:34:36
2;Cordoba Oro optimizing;program;neural Plastic;index Fantastic;orchestrate navigating time-frame;true;41963;false;true;2020-04-04T21:28:29;2020-04-05T08:27:54
3;Senior;open architecture open architecture;Orchestrator FTP;Gorgeous Bolivar Fuerte;analyzer;true;3385;false;false;2020-04-04T13:12:22;2020-04-05T03:27:08
4;Arkansas;generating;Operations Tools;bus;Forge PNG;false;16803;false;true;2020-04-05T11:08:24;2020-04-05T02:27:36
5;Cocos (Keeling) Islands Steel e-services;B2B Cape HTTP;reboot;Product;clicks-and-mortar brand;true;45251;false;true;2020-04-05T06:12:17;2020-04-05T02:53:35
6;systematic Handmade Rustic Concrete Keyboard;Engineer;Functionality Steel;dynamic;Refined Rubber Sausages Bike Planner;true;98272;true;false;2020-04-04T16:49:57;2020-04-04T21:53:20
7;Refined Soft Chips turn-key;reboot Singapore;Credit Card Account;Personal Loan Account;microchip navigate;false;17349;false;false;2020-04-05T10:53:38;2020-04-05T01:10:09
8;Buckinghamshire service-desk;Horizontal;1080p;content-based;panel cutting-edge benchmark;true;15443;false;false;2020-04-05T08:12:51;2020-04-05T01:18:37
9;Kiribati e-enable Awesome Granite Chips;azure;brand Lodge solid state;Awesome cyan IB;Gorgeous Granite Salad;true;80569;true;false;2020-04-04T23:33:22;2020-04-05T01:20:28
10;system engine;Regional Concrete;Response;Paradigm Unbranded;Brand;false;31787;true;true;2020-04-05T00:29:26;2020-04-05T08:02:44
